departamento,year,month,ndvi_mean,ndvi_min,ndvi_max,ndvi_std,evi_mean,evi_min,evi_max,evi_std
Narino,2013,5,0.4038220541742476,0.38625461702476127,0.42138949132373393,0.024844107872940516,0.2861785028327581,0.2628389627816627,0.3095180428838535,0.03300709407980915
Narino,2013,6,0.41073047756752523,0.4033240101581033,0.4181369449769471,0.010474326659678733,0.28645427779166,0.2826189730072385,0.2902895825760815,0.005423940041963321
Narino,2013,7,0.40365792686452195,0.38030715558021627,0.42700869814882764,0.033022977442137315,0.27899884666633146,0.26359818227168874,0.2943995110609742,0.02177982845646016
Narino,2013,8,0.3970602086641518,0.3752330080197306,0.41888740930857304,0.030868323179979264,0.2815495585910275,0.27009593025961265,0.29300318692244226,0.016197876524667563
Narino,2013,9,0.40757009677759504,0.3855692846233539,0.42957090893183614,0.031113846931750615,0.27700878413065305,0.2323857540482874,0.3216318142130187,0.06310649433666408
Narino,2013,10,0.4398836137279567,0.40853144220090953,0.47123578525500387,0.04433866618339769,0.3012930335544428,0.27042539700181456,0.3321606701070711,0.04365343025113039
Narino,2013,11,0.4609219732984967,0.3956994676822215,0.5261444789147719,0.09223855201449174,0.29504713312965425,0.25973060287797517,0.33036366338133333,0.04994511605788425
Narino,2013,12,0.44925429442029263,0.3984982678547929,0.5000103209857923,0.0717798611410988,0.30303325806614834,0.2776590728067866,0.3284074433255101,0.035884516927956855
Narino,2014,1,0.42172298089529875,0.357027461869465,0.4864184999211325,0.09149328043110071,0.28497480971213285,0.2501003161579797,0.319849303266286,0.049319981765176504
Narino,2014,2,0.3962891206667657,0.3361145367113997,0.45646370462213176,0.08509971273983712,0.28082049137570514,0.24766053801875104,0.31398044473265924,0.046895255765063724
Narino,2014,3,0.44829686779685285,0.3840407647421549,0.5125529708515508,0.09087185240519711,0.3155803202996871,0.2646138484079486,0.3665467921914256,0.07207747577560375
Narino,2014,4,0.5115994046686185,0.5115994046686185,0.5115994046686185,,0.36008639006243603,0.36008639006243603,0.36008639006243603,
Narino,2014,5,0.49364539445327144,0.43955437825903854,0.5477364106475043,0.07649624870442688,0.33257149815347387,0.2912809582034714,0.3738620381034764,0.05839364159500163
Narino,2014,6,0.5275311756688638,0.5070250673321275,0.5480372840056,0.029000016521304427,0.3534955643058304,0.3374595653516167,0.36953156326004416,0.022678327207249847
Narino,2014,7,0.5093344732441256,0.49965626256730034,0.5190126839209508,0.01368705679867029,0.34413163910712113,0.3317342101745173,0.35652906803972495,0.01753261213504492
Narino,2014,8,0.4568929879797707,0.4465725524416195,0.4672134235179219,0.014595299907650709,0.3188488821263795,0.31195017941083397,0.3257475848419251,0.009756238943104631
Narino,2014,9,0.47556851343464557,0.4722081822853312,0.47892884458396,0.004752225885425236,0.34146640964138836,0.33702534024625086,0.34590747903652586,0.006280620570043528
Narino,2014,10,0.4745314801681001,0.45772365184647174,0.49133930848972845,0.02376985876648544,0.3334236735728183,0.3268157091240199,0.34003163802161673,0.009345072943169963
Narino,2014,11,0.43609978966022084,0.4231164376695544,0.44908314165088725,0.018361232470264166,0.2914515522081365,0.27743246772920777,0.30547063668706526,0.019825979402155185
Narino,2014,12,0.4894891225111681,0.4609662775532567,0.5180119674690795,0.04033739417694336,0.33311390434611465,0.30940905312133526,0.3568187555708941,0.03352372209611951
Narino,2015,1,0.4531906911076574,0.38836216952977837,0.5180192126855364,0.09168137444403338,0.31221206493745124,0.2819947495286418,0.34242938034626075,0.04273373726964385
Narino,2015,2,0.4857950011146329,0.469032335046552,0.5025576671827139,0.02370598969501133,0.3403307364093886,0.34002667577776646,0.34063479704101074,0.00043000666902375765
Narino,2015,3,0.49004419315733655,0.4706583122329373,0.5094300740817358,0.027415775721835286,0.3368480717316892,0.32240245694536884,0.35129368651800946,0.020429184347631482
Narino,2015,4,0.5133051309183257,0.5133051309183257,0.5133051309183257,,0.3471910903979387,0.3471910903979387,0.3471910903979387,
Narino,2015,5,0.5582058876604259,0.5316762205954954,0.5847355547253565,0.03751861496846763,0.36365207220307766,0.35992935728453285,0.36737478712162247,0.005264713926654724
Narino,2015,6,0.5257891037595552,0.511197412834663,0.5403807946844473,0.020635767203938855,0.3506190769324399,0.3385328557304386,0.3627052981344411,0.01709249794171137
Narino,2015,7,0.5084322752164285,0.5004334640413937,0.5164310863914633,0.011312027246595668,0.3361256822656916,0.32330090462141337,0.34895045990996987,0.018136974478957575
Narino,2015,8,0.4301610136676028,0.40486135049066574,0.45546067684453984,0.035779126788295555,0.3042249463742625,0.2884921323582863,0.3199577603902387,0.022249558955687067
Narino,2015,9,0.46089071879028976,0.4549105238275981,0.46687091375298145,0.008457272821873807,0.3399960355105487,0.3361905127700307,0.3438015582510666,0.005381821871559745
Narino,2015,10,0.5129213798665935,0.4915397309152286,0.5343030288179583,0.030238217932920638,0.3641493132126701,0.36225689362214114,0.36604173280319907,0.0026762854506265825
Narino,2015,11,0.540077104213794,0.5095075345943741,0.5706466738332138,0.043231899951692035,0.34242863636124077,0.33584722429944025,0.34901004842304123,0.009307522197364108
Narino,2015,12,0.5607296506939661,0.5277914636089133,0.5936678377790188,0.046581630895663965,0.35902446779661934,0.3342233232642748,0.3838256123289639,0.035074114960017
Narino,2016,1,0.4825603156027882,0.4710840595151673,0.49403657169040915,0.016229877004380312,0.33272936406384734,0.3178834631697432,0.34757526495795144,0.020995274390088883
Narino,2016,2,0.3764553503502648,0.36715502454322596,0.38575567615730366,0.013152646890802824,0.27711962339035423,0.2634915835757279,0.29074766320498063,0.01927295873440512
Narino,2016,3,0.4583812487860216,0.4230156326535765,0.49374686491846664,0.05001453397618453,0.3180009080074585,0.29234180828921064,0.3436600077257064,0.036287446819829795
Narino,2016,4,0.4836842389928358,0.4524181975819528,0.5149502804037188,0.04421685980498958,0.3282577634703615,0.3093481257037722,0.3471674012369509,0.026742266189073167
Narino,2016,5,0.48383557936757104,0.48383557936757104,0.48383557936757104,,0.3313123633819327,0.3313123633819327,0.3313123633819327,
Narino,2016,6,0.4874587075984405,0.4727036194065256,0.5022137957903554,0.02086684583501716,0.32574437293010383,0.31971077721697727,0.3317779686432304,0.008532792887379749
Narino,2016,7,0.40497891889833426,0.35974061147415887,0.4502172263225096,0.06397662789807229,0.2766961241260602,0.2581882011094465,0.2952040471426739,0.02617415574145225
Narino,2016,8,0.43933683920379557,0.37784541538252736,0.5008282630250638,0.08696200553766952,0.2971665643713245,0.26515285006336986,0.32918027867927907,0.045274228956246984
Narino,2016,9,0.40558636963254285,0.37649323442898047,0.43467950483610523,0.04114390637683205,0.2874674736056563,0.260789033510965,0.3141459137003475,0.03772901180487051
Narino,2016,10,0.3718949346848893,0.3221409326306427,0.42164893673913595,0.07036278448745441,0.2665874083894342,0.24055626567033886,0.29261855110852947,0.03681359507741422
Narino,2016,11,0.4887255916691005,0.3400275466727587,0.6374236366654423,0.21029079193219133,0.3136037429432572,0.22207183971272873,0.40513564617378567,0.12944565893843507
Narino,2016,12,0.42785210467478774,0.37424480094682633,0.4814594084027492,0.07581217597433686,0.29608346930566526,0.2620404292429012,0.3301265093684293,0.048144128961171526
Narino,2017,1,0.646484420109324,0.5310672802369383,0.7619015599817098,0.16322448453784047,0.40227840286299976,0.3516075060981902,0.45294929962780933,0.07165946942240067
Narino,2017,2,0.5406194540062581,0.4856445797770046,0.5955943282355117,0.0777462127247655,0.38014859338245965,0.3533712540509619,0.40692593271395733,0.03786887644687058
Narino,2017,3,0.511635095552506,0.48832143011309076,0.5349487609919211,0.03297050185304987,0.37031642444983404,0.36043429961580126,0.38019854928386687,0.013975434965353148
Narino,2017,4,0.4738792076145546,0.4738792076145546,0.4738792076145546,,0.33716902603689586,0.33716902603689586,0.33716902603689586,
Narino,2017,5,0.5380898126346838,0.5066630330899962,0.5695165921793713,0.04444417785380659,0.361537164062042,0.3402017126051005,0.3828726155189835,0.030172884809759465
Narino,2017,6,0.49947477887598046,0.49253936081881106,0.5064101969331499,0.009808162277176256,0.3325129420931418,0.3313904378472288,0.3336354463390548,0.0015874607283915213
Narino,2017,7,0.548848025246713,0.548021292679903,0.5496747578135229,0.001169176408438201,0.3645722292512301,0.36134292648069916,0.367801532021761,0.004566923775093839
Narino,2017,8,0.5085560026542677,0.4801815253135414,0.5369304799949939,0.04012757068050307,0.3482611393355575,0.3283235774362316,0.36819870123488346,0.02819597043867983
Narino,2017,9,0.4464574642217122,0.3856348882744762,0.5072800401689481,0.08601611180304873,0.32850728303042787,0.3004616575897307,0.35655290847112503,0.03966250386346984
Narino,2017,10,0.42103803361884845,0.34334579441782664,0.49873027281987026,0.10987341836921967,0.2993471053332071,0.24849008124174649,0.35020412942466767,0.0719226932120788
