departamento,municipio,año,area_cosechada_ha,produccion_t,rendimiento_kg_ha,anio
Narino,LA LLANADA,2010,64.0,64.0,1000.0,2010
Narino,MALLAMA,2010,59.0,59.0,1000.0,2010
Narino,TANGUA,2010,37.0,34.0,910.0,2010
Narino,NARIÑO,2010,42.0,38.0,900.0,2010
Narino,BELEN,2010,29.0,37.0,1280.0,2010
Narino,PROVIDENCIA,2010,30.0,24.0,800.0,2010
Narino,IPIALES,2010,18.0,23.0,1300.0,2010
Narino,IMUES,2010,18.0,19.0,1050.0,2010
Narino,CUMBAL,2010,9.0,6.0,700.0,2010
Narino,RICAURTE,2010,3.0,2.0,700.0,2010
Narino,COLON,2011,2997.0,2997.0,1000.0,2011
Narino,LA UNION,2011,2035.0,2442.0,1200.0,2011
Narino,SAN LORENZO,2011,1380.0,1380.0,1000.0,2011
Narino,BUESACO,2011,2140.0,2140.0,1000.0,2011
Narino,SAMANIEGO,2011,1450.0,1015.0,700.0,2011
Narino,CONSACA,2011,1705.0,1705.0,1000.0,2011
Narino,EL ROSARIO,2011,1052.0,842.0,800.0,2011
Narino,ALBAN,2011,1375.0,2063.0,1500.0,2011
Narino,ARBOLEDA,2011,160.0,112.0,700.0,2011
Narino,TAMINANGO,2011,1250.0,1250.0,1000.0,2011
Narino,SANDONA,2011,1072.0,751.0,700.0,2011
Narino,LA FLORIDA,2011,1224.0,1591.0,1300.0,2011
Narino,EL TABLON,2011,776.0,776.0,1000.0,2011
Narino,LINARES,2011,700.0,630.0,900.0,2011
Narino,LOS ANDES,2011,654.0,523.0,800.0,2011
Narino,LEIVA,2011,443.0,443.0,1000.0,2011
Narino,EL PEÑOL,2011,570.0,570.0,1000.0,2011
Narino,EL TAMBO,2011,490.0,196.0,400.0,2011
Narino,POLICARPA,2011,419.0,419.0,1000.0,2011
Narino,CHACHAGUI,2011,407.0,407.0,1000.0,2011
Narino,SAN PEDRO DE CARTAGO,2011,348.0,348.0,1000.0,2011
Narino,PASTO,2011,219.0,263.0,1200.0,2011
Narino,SAN PABLO,2011,210.0,189.0,900.0,2011
Narino,ANCUYA,2011,184.0,147.0,800.0,2011
Narino,SANTACRUZ,2011,150.0,90.0,600.0,2011
Narino,CUMBITARA,2011,130.0,117.0,900.0,2011
Narino,YACUANQUER,2011,115.0,138.0,1200.0,2011
Narino,GUAITARILLA,2011,110.0,77.0,700.0,2011
Narino,SAN BERNARDO,2011,70.0,35.0,500.0,2011
Narino,LA CRUZ,2011,86.0,74.0,860.0,2011
Narino,LA LLANADA,2011,76.0,76.0,1000.0,2011
Narino,FUNES,2011,74.0,65.0,880.0,2011
Narino,MALLAMA,2011,45.0,45.0,1000.0,2011
Narino,BELEN,2011,32.0,48.0,1500.0,2011
Narino,TANGUA,2011,32.0,32.0,1000.0,2011
Narino,PROVIDENCIA,2011,35.0,28.0,800.0,2011
Narino,IPIALES,2011,23.0,28.0,1200.0,2011
Narino,CUMBAL,2011,6.0,4.0,600.0,2011
Narino,IMUES,2011,6.0,7.0,1100.0,2011
Narino,NARIÑO,2011,6.0,5.0,900.0,2011
Narino,TUMACO,2011,4.0,4.0,1000.0,2011
Narino,RICAURTE,2011,3.0,2.0,700.0,2011
Narino,EL CHARCO,2011,2.0,2.0,1000.0,2011
Narino,LA UNION,2012,3307.0,3968.0,1200.0,2012
Narino,COLON,2012,4395.0,5274.0,1200.0,2012
Narino,SAN LORENZO,2012,2400.0,2835.0,1180.0,2012
