departamento,year,spi3_mean,spi3_min,spi3_floracion,spi3_desarrollo,spi3_cosecha,n_sequia,n_exceso,spi3_mean_lag1,spi3_min_lag1,spi3_floracion_lag1,spi3_desarrollo_lag1,spi3_cosecha_lag1,n_sequia_lag1,n_exceso_lag1
Quindio,2015,-1.0985885631603713,-2.23032375919447,-1.0134882018847908,-1.561728999765689,-1.407412547557852,7,0,-0.3484599581144425,-0.9326978122532832,-0.33843742664121257,-0.43440292368528366,-0.3350343720083065,0.0,0.0
Quindio,2016,-0.7100922610820173,-1.626612045355647,-0.5184260367686211,-0.8120274652040079,0.04666558093884404,2,0,-1.0985885631603713,-2.23032375919447,-1.0134882018847908,-1.561728999765689,-1.407412547557852,7.0,0.0
Quindio,2017,-0.09075428814445363,-0.6225906134141831,-0.1617464811750193,0.13125412250150986,-0.5164144184609665,0,0,-0.7100922610820173,-1.626612045355647,-0.5184260367686211,-0.8120274652040079,0.04666558093884404,2.0,0.0
Quindio,2018,0.7964557918270329,-0.46772531069444245,1.2385878006539706,0.47575633694365305,1.575111085345867,0,3,-0.09075428814445363,-0.6225906134141831,-0.1617464811750193,0.13125412250150986,-0.5164144184609665,0.0,0.0
Quindio,2019,1.0394765432175235,-0.7546019897843655,1.4459761049773763,0.933990888554016,1.1197422472541936,0,5,0.7964557918270329,-0.46772531069444245,1.2385878006539706,0.47575633694365305,1.575111085345867,0.0,3.0
Quindio,2020,1.1518781942249656,0.02606567673388247,0.7914273819491182,0.8573789140449843,1.2739722467278785,0,5,1.0394765432175235,-0.7546019897843655,1.4459761049773763,0.933990888554016,1.1197422472541936,0.0,5.0
Quindio,2021,1.878276221769317,1.0514482842565782,1.9804022709305593,1.926516690603163,1.7910547053337555,0,11,1.1518781942249656,0.02606567673388247,0.7914273819491182,0.8573789140449843,1.2739722467278785,0.0,5.0
Quindio,2022,1.1836967932700817,0.25079447597909554,1.3271688699367594,1.0438810106310634,1.2802686536279253,0,4,1.878276221769317,1.0514482842565782,1.9804022709305593,1.926516690603163,1.7910547053337555,0.0,11.0
Quindio,2023,0.8285169224471473,-0.782778075997643,0.7700034540612474,0.2554104213429816,0.8705089350107512,0,2,1.1836967932700817,0.25079447597909554,1.3271688699367594,1.0438810106310634,1.2802686536279253,0.0,4.0
Quindio,2024,1.0921827382595322,0.11333249159140933,0.7991803460928688,1.7066684551499995,0.6893520806317491,0,5,0.8285169224471473,-0.782778075997643,0.7700034540612474,0.2554104213429816,0.8705089350107512,0.0,2.0
